"zcta","medincome","total_pop1","median_rent","total_hholds1","over16total_industry1","total_commute1","drove_commute","pubtrans_bus_commute","taxi_commute","bicycle_commute","walked_commute","workhome_commute","unemployed","hisplat_raceethnic","nonhispLat_white_raceethnic","nonhispLat_black_raceethnic","nonhispLat_amerindian_raceethnic","nonhispLat_asian_raceethnic","age65_plus","not_insured","snap_hholds","fpl_150","not_quarantined_jobs","Positive","Total","modzcta_cum_perc_pos","total_res_volume_zcta","essentialworker_drove","essentialworker_pubtrans","grocers","pop_density","avg_hhold_size","pos_per_100000","testing_ratio","res_vol_zctadensity","res_vol_popdensity","pubtrans_ferrysubway_commute","grocers_per_1000","valid_var","didnot_workhome_commute","one_over_grocers_per_1000","one_over_medincome","Borough","Neighborhood"
"11368",50797,112425,1572,28502,54370,52414,21.09,9.74,0.56,0.81,9.83,1.58,5.06,75.49,3.92,8.26,0.19,11.22,1391,23.74,30.24,36.75,20.47,4524,13087,34.6,317833647.920149,4.99,11.17,15,0.00151260391592251,3.94,4024,0.116406493217701,4.2762412315406,0.000353722775218076,54.76,0.133422281521014,"0",0.632911392405063,7.495,1.96862019410595e-05,NA,NA
"11369",54121,34118,1503,10294,15418,14138,35.01,18.22,0.85,1.29,6.01,1.72,7.27,63.61,8.05,14.84,0.15,12.3,655,13.91,16.52,28.16,23.85,1605,4658,34.5,150261283.474197,5.94,11.66,1,0.000560257318346983,3.31,4704,0.136526173867167,2.46746537694558,0.000227057823620007,35.53,0.0293100416202591,"0",0.581395348837209,34.118,1.84771160917204e-05,NA,NA
"11370",65098,32514,1628,7993,12290,11351,38.6,11.45,0.74,0.89,3.44,2.87,5.65,37.38,25.33,13.79,0.08,21.95,492,6,11.03,16.84,25.99,1327,4014,33.1,96494949.1226734,9.76,10.17,2,0.00079541112803492,4.07,4081,0.123454511902565,2.36061869752531,0.000336950278699719,40.85,0.061511964077013,"0",0.348432055749129,16.257,1.53614550370211e-05,NA,NA
"11372",56383,61844,1441,23814,32666,31987,22.22,4.41,0.27,0.76,9.02,2.5,4.97,57.56,17.82,2.37,0.06,20.2,1251,13.09,13.1,24.73,21.86,2506,7976,31.4,271680010.819516,8.38,8.88,12,0.00299970703333212,2.6,4052,0.128969665610245,13.1776799571672,0.000227635444409212,60.02,0.194036608240088,"0",0.4,5.15366666666667,1.77358423638331e-05,NA,NA
"11373",51183,93967,1485,30285,48550,46018,19.19,6.09,0.62,0.76,6.81,1.82,4.85,41.39,6.54,1.75,0.46,48.26,2037,16.62,15.89,30.48,20.37,3212,10512,30.6,334873374.659542,4.36,11.8,12,0.00220800218509197,3.1,3418,0.111869060414826,7.86873203334564,0.000280604572087984,62.6,0.12770440686624,"0",0.549450549450549,7.83058333333333,1.95377371392845e-05,NA,NA
"11374",63161,42653,1591,19416,22156,21542,25.97,5.33,0.45,0.29,7.3,5.23,4.63,16.29,43.53,3.88,0,31.84,1866,7.73,13.38,21.29,23.42,1069,4177,25.6,215859429.795938,6.73,11.56,4,0.00163281409286326,2.2,2506,0.0979298056408693,8.26338871939218,0.000197596185815564,53.98,0.0937800389187162,"0",0.191204588910134,10.66325,1.58325548993841e-05,NA,NA
"11375",80542,73488,1731,32857,37540,36710,27.52,3.8,0.27,0.18,5.06,4.39,4.66,15.74,49.97,2.48,0.11,27.94,2408,4.18,7.31,14.04,21.02,1496,6019,24.9,476904454.824871,6.65,10.97,11,0.00133003199873731,2.24,2036,0.0819045286305247,8.63131647694111,0.000154093758732001,55.43,0.149684302198998,"0",0.227790432801822,6.68072727272727,1.24158823967619e-05,NA,NA
"11377",57010,86421,1490,31400,45313,44507,24.44,5.09,0.61,0.56,5.92,1.95,4.17,38.07,20.95,1.88,0.24,36.85,1691,13.18,8.94,23.59,24.58,2227,8610,25.9,315874390.336562,9.61,10.97,11,0.00121820602926899,2.75,2577,0.0996285625021696,4.45262247370045,0.000273592930113514,59.32,0.127283877761192,"0",0.512820512820513,7.85645454545455,1.75407823188914e-05,NA,NA
"11378",73333,37279,1600,12604,17932,17500,44.35,14.66,0.19,0.69,5.23,2.69,6.05,32.21,54.08,1.42,0.13,10.28,585,8.98,7.13,19.26,24.33,734,3174,23.1,173173742.808808,10.19,9.34,5,0.000519871418738737,2.96,1969,0.085141768824271,2.4149810714427,0.000215269355477047,31.25,0.134123769414416,"0",0.371747211895911,7.4558,1.36364256201165e-05,NA,NA
"11379",82819,37851,1518,13504,18800,18399,47.9,7.87,0.13,0.27,5.83,2.24,5.5,20.13,66.18,0.86,0,10.97,973,6.35,5.15,13.74,25.59,800,3217,24.9,199717013.829063,13.14,8.4,4,0.000654528076800809,2.8,2114,0.0849911495072785,3.45355189997456,0.000189523162169832,33.15,0.105677525032364,"0",0.446428571428571,9.46275,1.20745239618928e-05,NA,NA
