1 	0 16 1 0 
2 	0 19 3 0 
3 	0 42 10 3 
4 	8 63 21 6 
5 	17 110 33 13 
6 	30 176 74 32 
7 	76 331 113 65 
8 	207 579 216 127 
9 	467 1000 437 252 
10 	998 1762 872 565 
11 	2177 3150 1785 1282 
12 	4659 5601 3470 2678 
13 	9551 10036 6926 5327 
14 	19867 18353 13694 10860 
15 	40741 33448 27141 22299 
16 	81934 60512 53326 45181 
17 	160073 109302 105532 89742 
18 	300219 194573 204452 176420 
19 	522007 330584 384470 336420 
20 	784098 517688 679967 601714 
21 	821546 658953 1008177 895660 
22 	590895 655691 1193665 1060958 
23 	419004 463901 1144503 1005313 
24 	290927 322091 794821 697529 
25 	202031 223495 552320 484192 
26 	140740 154986 383920 336171 
27 	97824 107260 266974 233320 
28 	67806 74291 185292 161952 
29 	46929 51765 128606 112191 
30 	32426 36026 89025 77630 
31 	22573 24916 61463 54099 
32 	15747 17331 42584 37515 
33 	10903 12071 29529 26048 
34 	7549 8417 20399 18137 
35 	5260 5865 14164 12634 
36 	3644 4054 9773 8731 
37 	2534 2827 6742 6103 
38 	1787 1936 4676 4215 
39 	1246 1350 3241 2910 
40 	849 946 2202 2020 
41 	583 665 1526 1356 
42 	395 467 1062 941 
43 	283 322 745 644 
44 	188 221 520 428 
45 	122 151 351 312 
46 	86 101 250 206 
47 	60 68 180 142 
48 	43 45 121 90 
49 	33 35 83 60 
50 	26 29 54 39 
51 	19 20 46 25 
52 	13 14 26 16 
53 	6 8 17 8 
54 	5 6 11 4 
55 	4 5 6 2 
56 	3 4 5 1 
57 	1 3 5 0 
58 	1 1 3 0 
59 	1 1 1 0 
60 	1 1 1 0 
61 	1 1 1 0 
62 	0 1 1 0 
63 	0 1 1 0 
64 	0 1 1 0 
65 	0 1 1 0 
66 	0 0 0 0 
