ID,NTA Name,Borough,Total households,Households living alone,Households older then 65y,Tot population,Males,Females,Under 18y,Over 65y ,Hispanic/Latino,White,Black or AfroAmerican,Asian,Population over 16y,Workers 16y and over,Commuting to work by driving,Commuting to work by car pooling,Commuting to work by public transport,Going to work by walk,Working at home,Mean travel time to work,Civilians employed over 16y,Private wage or salary workers,Government workers,Self employers,Unpaid person family workers,Households income less 10000$,Mean households income ,Annual income per capita ,Median earning for workers ,Civilians noninstitutionals with health insurance (private and public),Not covered by health insurance,People which poverty state is determined,geometry
85,Hamilton Heights,Manhattan,19226,6987,2043,52508,26649,25859,9216,5447,24053,8759,15524,1863,44399,27064,1786,595,20529,1528,1615,38.4,28056,22913,2597,2529,17,2615,62703,25803,29068,44547,7943,52242,POINT (998174.7096714377 239342.4465616047)
86,Hammels-Arverne-Edgemere,Queens,13061,3347,1075,39003,18117,20886,11438,4240,10607,6175,18830,2160,29066,14192,5507,766,6944,517,220,55.4,14404,11256,2636,503,9,1803,56077,20202,32881,34565,3209,37629,POINT (1038263.873915523 153319.3541724384)
87,Highbridge,The Bronx,13242,3952,1214,39144,17311,21833,12034,2975,25647,664,12517,112,28547,14258,2486,731,9320,1105,402,40.8,14730,12467,1644,606,13,2462,39092,14230,22524,33878,5094,38772,POINT (1004698.478448018 244090.2733520269)
88,Hollis,Queens,6030,1269,242,21214,10076,11138,4302,2768,2325,551,12445,4132,17387,10583,4494,333,5151,194,228,50.2,10749,8227,1904,588,30,438,78912,24513,31222,18460,2353,20688,POINT (1050993.991171777 198493.3809501827)
89,Homecrest,Brooklyn,15575,4411,2065,44516,21822,22694,12516,6342,4454,34673,427,3855,33254,17998,4646,1110,8949,1717,1112,41.7,18315,14818,2152,1322,23,1332,75661,26889,35774,40709,3789,44407,POINT (995584.5550748557 157337.8753348589)
90,Hudson Yards,Manhattan,42124,22888,4201,77205,40160,37045,8028,8915,10838,48751,4429,11102,69699,50452,2355,403,25899,14418,3262,26.2,51157,43969,3184,3996,8,2924,184732,103883,81696,73015,3936,75765,POINT (984219.147687614 214947.6416767687)
91,Hunters Point,Queens,28245,10229,2119,66926,33889,33037,10833,6469,22883,25244,1249,15707,56920,39327,5111,995,28801,2201,1222,36.3,39859,32770,2948,4133,8,1481,91724,40028,40154,55308,11263,66226,POINT (997033.2382011116 210125.7946931869)
92,Hunts Point,The Bronx,8445,2468,948,26531,12876,13655,7580,2413,19396,263,6513,174,19678,8611,1165,316,5833,866,341,44.6,8763,7520,829,414,0,2076,33441,11881,21241,21643,4111,25581,POINT (1016551.233941942 234305.0166758597)
93,Jackson Heights,Queens,36706,10747,3631,104125,52176,51949,19792,14175,58866,16416,1913,24998,86461,50656,10436,2746,32662,3167,715,40,51825,41720,5279,4805,21,2139,67112,24967,29933,85142,18698,103595,POINT (1016716.121079355 213265.4823114425)
94,Jamaica Center,Queens,15952,3211,1270,55597,27271,28326,13430,6391,20129,2000,9362,17430,43490,24612,4813,1061,16028,1761,421,47.6,24976,19864,2687,2388,37,1297,55954,17450,23745,45811,9462,54665,POINT (1040561.291564777 196067.4346866012)
