ID,NTA Name,Borough,Total households,Households living alone,Households older then 65y,Tot population,Males,Females,Under 18y,Over 65y ,Hispanic/Latino,White,Black or AfroAmerican,Asian,Population over 16y,Workers 16y and over,Commuting to work by driving,Commuting to work by car pooling,Commuting to work by public transport,Going to work by walk,Working at home,Mean travel time to work,Civilians employed over 16y,Private wage or salary workers,Government workers,Self employers,Unpaid person family workers,Households income less 10000$,Mean households income ,Annual income per capita ,Median earning for workers ,Civilians noninstitutionals with health insurance (private and public),Not covered by health insurance,People which poverty state is determined,geometry
160,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,26198,7978,3839,66293,31519,34774,12509,12695,5809,43445,4741,11275,55175,28955,8625,2518,13906,2056,1372,45.1,29706,22758,5395,1515,38,2482,73419,29668,39416,61362,4767,66115,POINT (1000030.046840027 153101.4379416108)
161,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,19700,8576,1627,42979,21369,21610,6582,4964,2839,28050,1023,9281,36989,25101,1231,373,13186,6329,2024,26,25529,22001,1068,2454,6,1175,251546,118807,82798,40594,2294,41246,POINT (984067.9786986113 202387.5844478607)
162,Soundview,The Bronx,11820,2945,1151,37866,18500,19366,10597,3863,23469,941,9498,2441,28503,14332,2524,488,9676,1067,337,44.9,14917,12543,1504,841,29,1889,43345,14966,21422,31348,6298,37386,POINT (1021408.447652698 238422.5314066857)
164,South Jamaica,Queens,12166,2660,1284,41606,19779,21827,10899,4241,7389,163,27053,2781,32122,17096,6099,850,9166,634,201,48.6,17607,13286,3313,998,10,1108,63738,20009,29255,35319,6255,41485,POINT (1042363.452658609 193249.5344825238)
165,South Ozone Park,Queens,22105,2799,1083,85411,42136,43275,18459,8906,18821,4553,18923,22174,69511,39837,15242,3176,18422,1415,838,47.1,40829,32948,5150,2669,62,1219,79339,22153,29010,74159,11220,85173,POINT (1036995.678945363 182904.2812229395)
168,Springfield Gardens,Queens,16406,4880,1935,49477,20564,28913,11371,6893,3418,725,43412,879,39367,22331,9975,1067,9769,695,702,50.1,23608,17324,5366,918,0,827,74647,25869,35635,45566,3752,48707,POINT (1050714.250261441 182093.0184097737)
169,Spuyten Duyvil,The Bronx,13171,4915,2069,31508,14792,16716,6242,6404,12297,13851,2910,1649,25714,14735,4094,844,7567,1111,796,44.2,15282,11929,2502,851,0,863,94681,40470,44776,28215,2210,30414,POINT (1007149.011932775 260404.6265500188)
170,St. Albans,Queens,15717,2890,1301,54626,25068,29558,12614,7175,3724,580,47742,829,43580,25965,12042,1118,11374,539,649,50.2,26609,19557,6260,779,13,645,83969,26321,35668,48866,5260,53834,POINT (1051169.998693779 192373.8082156032)
171,Stapleton-Rosebank,Staten Island,9317,2667,982,26247,12912,13335,6092,3239,8511,9594,5081,2301,20812,11309,4579,863,4938,442,360,41.6,11543,8952,2004,581,6,1052,70987,25637,33598,22523,3128,25556,POINT (962625.6163996905 167692.6328405142)
172,Starrett City,Brooklyn,6408,3216,1832,12388,4869,7519,2213,3607,2208,2759,6816,306,10433,4074,1394,120,2375,185,0,52.3,4328,2680,1582,66,0,1064,35486,18908,29665,11666,699,12347,POINT (1017724.75423269 175233.582653597)
173,Steinway,Queens,19715,6010,1738,48179,23909,24270,7053,6156,10184,30027,846,5986,41838,26835,5288,1286,16892,1829,1173,38.9,27708,22547,3201,1925,35,1065,86460,37056,41156,42942,5201,48145,POINT (1011312.359249115 221981.5875826031)
175,Stuyvesant Town,Manhattan,10480,4454,1794,21462,8570,12892,2220,3712,1778,15874,728,2456,19278,13108,557,504,7893,2361,833,30.7,13428,10657,1829,942,0,759,115504,60652,61074,20404,1041,21462,POINT (991441.6191350222 205600.4868146926)
178,Sunset Park,Brooklyn,36677,5846,2123,129227,66741,62486,31727,10898,59395,18844,2862,46385,100325,57412,5545,3673,37014,8712,991,43,59360,51910,3682,3715,53,3213,58561,17683,20472,102483,24468,126594,POINT (981387.1641783565 174304.9467156082)
179,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Staten Island,11603,2716,1340,32276,15561,16715,6443,6052,3323,22789,700,4981,26686,14395,9012,1288,3214,257,480,41.5,14674,11364,2613,687,10,558,117984,42579,46723,29544,2184,31653,POINT (953333.0011266917 156824.2129763514)
180,Turtle Bay-East Midtown,Manhattan,28991,16204,5023,49628,22825,26803,4199,11385,3207,36919,917,7568,45690,32689,2319,542,12522,12733,2937,27.2,33268,28634,2083,2480,71,1284,202545,121005,90289,47857,1744,49119,POINT (993196.8944958597 213267.636834681)
181,University Heights,The Bronx,19072,5897,1618,55575,24958,30617,15731,4448,37471,585,16229,959,41746,20189,2921,846,13712,1551,643,42.5,20629,17123,2434,1045,27,4620,35107,13191,21000,48338,7172,55064,POINT (1009031.908429444 251054.6527959406)
182,Upper East Side,Manhattan,28854,12312,5681,58593,25816,32777,10017,16305,4130,49005,602,3598,49438,29828,2403,548,14325,5566,3807,27.4,30269,25130,1614,3431,94,1231,302939,151052,93707,57516,1077,58264,POINT (995188.0522589386 221865.3279726058)
183,Upper West Side,Manhattan,65676,30900,10336,134019,60289,73730,21240,25375,21966,88180,9655,10607,114942,73471,4386,1352,51982,6039,6161,32.3,75460,60555,6240,8546,119,4607,176267,88477,66924,125732,7172,132678,POINT (990602.6700255275 226242.7785352767)
185,Van Nest-Morris Park-Westchester Square,The Bronx,9430,2516,721,29509,14837,14672,7685,3068,15483,7212,3156,3149,22731,12631,3503,765,6629,1078,413,42,12899,10625,1660,614,0,827,61485,20986,27943,25029,3929,28783,POINT (1021242.800674275 246654.9437476099)
188,Washington Heights,Manhattan,55143,17582,6161,165999,82149,83850,27760,21177,114695,30555,13130,5031,141322,78561,6012,3279,52974,9633,4655,39.6,81406,67086,8141,6073,106,6901,60773,23098,25435,142885,21297,162375,POINT (1001706.475245684 249654.8376821876)
189,West Brighton,Brooklyn,8132,3405,2056,15754,6943,8811,1440,5559,429,14931,177,149,14457,6809,1821,396,3688,603,189,42.7,7109,5592,1169,332,16,1152,58592,30666,38568,14821,923,15754,POINT (954500.1867844462 169505.1092024297)
191,West Farms,The Bronx,11865,3097,1260,35752,17105,18647,9474,3741,23099,1182,8977,1528,27277,13360,2702,572,8588,744,461,43.8,13851,11392,1443,980,36,2134,39917,14513,20797,30093,5629,35527,POINT (1018078.105560109 245144.3608107716)
193,West Village,Manhattan,36906,21092,4974,66772,33233,33539,5498,9849,4032,53660,1339,5741,61658,42519,2040,655,21583,10788,3986,24.2,42819,36480,1965,4306,68,1593,192741,109577,87490,64364,2327,62359,POINT (982537.2947521061 206850.7346422672)
194,Westchester-Unionport,The Bronx,9073,2362,807,28437,13282,15155,6766,3407,18093,1121,4304,3612,22508,11520,2670,802,7032,633,212,46,11755,8972,2014,767,2,1161,57590,19809,28475,24752,3457,28076,POINT (1027914.23877494 245577.0472813547)
195,Westerleigh,Staten Island,9067,2376,1068,24131,11954,12177,5124,3812,3758,17293,861,1580,19640,10827,6606,909,2869,264,130,37.6,10967,7931,2665,371,0,782,97239,36982,51033,22891,1229,24092,POINT (947316.5102069378 165584.4349571913)
196,Whitestone,Queens,11094,2660,1368,31090,15206,15884,6293,6533,4431,19142,170,6570,25359,13966,8587,1505,3146,401,254,37.9,14317,11350,2415,523,29,337,98714,36322,47102,28180,2676,30885,POINT (1035705.319977522 223976.7164663523)
197,Williamsbridge-Olinville,The Bronx,21483,6089,2138,65043,30020,35023,16285,7851,16401,1526,45020,784,50582,26222,8126,1160,14493,1284,655,45.8,27005,21731,3971,1271,32,3014,53405,19287,30416,56433,7965,64233,POINT (1023670.014979944 260296.1372656822)
198,Williamsburg,Brooklyn,8315,1235,751,33767,17336,16431,16185,2557,2748,29533,1238,114,18882,8648,1335,665,1773,4330,446,23,8712,7929,422,317,44,1328,43748,11026,17270,32273,1304,33415,POINT (995862.5814216882 196911.0314245969)
199,Windsor Terrace,Brooklyn,9135,2720,989,22031,10214,11817,4757,2591,2881,14870,1055,2580,17522,12071,1597,238,8037,746,930,39.8,12351,9164,1965,1222,0,529,118325,49947,56494,20853,1149,21947,POINT (989778.8311220258 178620.0972060263)
200,Woodhaven,Queens,17324,2770,969,62821,30752,32069,14595,6375,33923,9801,2169,15003,50024,29125,8384,1720,16665,1513,604,46.6,30049,24746,3826,1448,29,939,79620,23431,30178,54394,8413,62611,POINT (1023599.198520526 190652.6994531006)
201,Woodlawn,The Bronx,14863,3777,1439,44064,20502,23562,9164,6194,7687,7179,26165,1937,35865,20339,7672,1200,9894,953,411,44.5,21049,16597,3695,700,57,1242,70825,25921,34704,39488,4539,43905,POINT (1020931.581808522 266570.7917111069)
202,Woodside,Queens,16022,4708,1555,45702,23401,22301,8852,6341,16065,10245,400,18007,37798,21994,3944,837,15366,1100,417,38.3,22264,18258,2018,1980,8,1002,67859,25064,32873,36854,8599,45412,POINT (1011448.49545978 211206.9811791033)
203,Yorkville,Manhattan,44045,22432,6878,81278,34968,46310,10496,13634,8403,60628,2494,7253,71542,50911,3185,790,33132,6404,3775,33.8,51420,44168,3027,4140,85,1878,150969,83462,72077,76767,4096,80925,POINT (998896.5064561963 221973.405184269)
